grid_id,area_km2
0,100452.719936
1,140443.4857635
2,304571.7278995
3,155846.261587
4,4319.1090535
5,183019.306533
6,277342.202499
7,0.0
8,207337.0986675
9,582382.915722
10,255494.6592315
11,0.0
12,5105.9929445
13,31498.773234
14,263851.0776095
15,753207.0765205
16,526037.599472
17,243386.001881
18,53516.0367095
19,228524.044551
20,573176.1423585
21,2052.772346
22,22051.353149
23,769.133497
24,650062.9427835
25,795644.8310825
26,240045.20131
27,71484.91118
28,0.0
29,39.7943225
30,3655.2931165
31,27665.9357535
32,0.0
33,155322.7025165
34,909336.9819035
35,871325.422548
36,472263.2215245
37,2343.011225
38,0.0
39,789056.243465
40,413897.729889
41,200278.446035
42,39084.5768875
43,122678.544163
44,1883.296657
45,463677.3563765
46,0.0
47,0.0
48,26317.887396
49,29663.868076
50,2990.111622
51,2461.7696815
52,79054.449552
53,284650.40393
54,1793.949789
55,308708.7002635
56,89739.999003
57,19997.575789
58,0.0
59,0.0
60,25823.1539615
61,43227.896196
62,321366.008769
63,0.0
64,121894.406781
65,21341.063144
66,0.0
67,0.0
68,0.0
69,96209.9367665
70,0.0
71,243673.9100915
72,90181.9001485
73,153799.041386
74,75955.9830265
75,2326.4027825
76,0.0
77,132.3980275
78,70104.120837
79,0.0
80,0.0
81,293190.0035655
82,293677.0505565
83,58631.88474
84,990.8540075
85,126192.661902
86,226530.426707
87,149298.0947645
88,93228.408439
89,4504.615367
90,321.981851
91,1719.70004
92,53878.2140405
93,242737.7630235
94,67137.670008
95,5880.434171
96,1818.258707
97,9828.801943
98,0.0
99,0.0
100,67630.3247585
101,82681.8692275
102,50855.493856
103,1185.94515
104,28115.719678
105,3283.4867395
106,42454.1553185
107,97804.105026
108,49396.8682905
109,1373.4405825
110,0.0
111,0.0
112,0.0
113,0.0
114,5446.537218
115,161309.8698915
116,0.0
117,0.6894255
118,89653.862589
119,60812.451228
120,79329.6288185
121,0.0
122,0.0
123,25217.416719
124,15373.9707545
125,0.0
126,0.0
127,41424.3352155
128,9235.5803675
129,12311.45287
130,70338.6888675
131,2803.3690385
132,398953.8643095
133,0.0
134,3680.027837
135,13710.5158415
136,10095.121308
137,41894.0055935
138,0.0
139,0.0
140,0.0
141,0.0
142,640561.451378
143,261221.81358
144,210038.35267
145,1706.252474
146,417502.438244
147,15949.931188
148,446.796661
149,0.0
150,22082.168763
151,12463.0406155
152,0.0
153,118.469186
154,193692.399172
155,39814.4865125
156,83564.577608
157,238807.78547
158,12072.104805
159,15589.918069
160,63278.0768485
161,10565.3643915
162,0.0
163,8044.294385
164,7850.5033515
165,360748.773064
166,206929.2920175
167,369566.067088
168,207011.576189
169,0.0
170,6298.6714485
171,0.0
172,2621.638455
173,50072.298483
174,99557.6391865
175,221831.1057175
176,5443.024002
177,50.717268
178,78559.917646
179,0.0
