grid_id,area_km2
0,0.0
1,76.1909215
2,33.3755345
3,5.4235585
4,391.2860155
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,3733.67129
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,62.9279615
21,0.0
22,20516.176664
23,40119.603493
24,0.0
25,12.461275
26,0.0
27,0.0
28,0.0
29,2118.0040265
30,711.016017
31,58169.167513
32,116095.0896765
33,0.0
34,0.0
35,47.516793
36,11.3188695
37,69543.256327
38,161602.5193235
39,0.0
40,0.0
41,0.0
42,0.0
43,81046.1651035
44,62176.698798
45,0.0
46,0.0
47,0.0
48,26568.022753
49,77208.2118645
50,141557.0912665
51,73171.2038715
52,0.0
53,75.977799
54,0.0
55,0.0
56,21614.9935695
57,164044.4804765
58,129545.3584585
59,136142.6648105
60,21240.3465765
61,0.0
62,0.0
63,0.0
64,27572.8317255
65,92730.793022
66,37057.420271
67,35271.254239
68,66390.517606
69,128512.94267
70,0.0
71,7714.957517
72,0.0
73,96016.490486
74,6125.648903
75,30779.113609
76,44649.836113
77,105661.814737
78,19128.9928645
79,0.0
80,0.0
81,96.9276975
82,0.0
83,17.5146285
84,27258.18626
85,54362.264701
86,66696.699772
87,53538.961819
88,7521.9090175
89,27045.6644655
90,72414.2301355
91,80584.1994685
92,28786.383006
93,70430.775523
94,131422.249862
95,70839.251399
96,58842.105371
97,120814.9502305
98,406959.3389425
99,358445.7498775
100,222609.3479155
101,12941.161202
102,4434.8824745
103,2132.3787525
104,47885.621184
105,144930.3206245
106,50120.7694285
107,546.395937
108,5822.1367205
109,42467.8544735
110,98078.571172
111,275837.2721015
112,493333.767335
113,578387.73963
114,299930.95127
115,1597.2614325
116,0.0
117,0.767468
118,7261.594933
119,64574.289128
120,36992.4678375
121,0.0
122,0.0
123,6082.057404
124,102228.3477435
125,86516.1700745
126,378260.6350115
127,324666.5460465
128,17912.39353
129,4099.96527
130,462.07391
131,92133.850806
132,0.0
133,0.0
134,17584.762968
135,44191.234414
136,84756.4188715
137,32133.690081
138,0.0
139,0.0
140,52.730936
141,325916.18915
142,0.0
143,0.0
144,0.0
145,24.777221
146,0.0
147,0.0
148,122.755717
149,0.0
150,14.612978
151,517.4329165
152,0.0
153,352848.0776655
154,0.0
155,0.0
156,0.0
157,24.2011295
158,6510.219507
159,30501.075144
160,2072.598638
161,1066.3459145
162,0.0
163,0.0
164,211050.0107435
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,146985.629429
171,79090.943006
172,4055.309828
173,133361.737831
174,72289.160374
175,32404.765456
176,5318.346235
177,0.0
178,0.0
179,0.0
180,233.47552
181,146309.718711
182,158575.852514
183,7579.7583375
184,39793.109577
185,182481.1336455
186,80251.0993415
187,37.630195
188,0.0
189,117131.2924125
190,134077.2896095
191,31943.436215
192,167536.98989
193,75618.350749
194,216315.140929
195,116346.170659
196,18328.269587
197,140405.347968
198,204238.719934
199,45498.076316
200,0.0
201,35235.574275
202,171090.5211715
203,366724.5980025
204,73564.699172
205,208995.9864905
206,221335.6272365
207,111250.3110565
208,52395.213287
209,27777.229836
210,184991.6829305
211,183891.745139
212,68979.230485
213,0.0
214,40.0499865
215,11078.9125675
216,91621.3520165
217,284350.032325
218,341938.5253785
219,188977.0156355
220,208761.547634
221,30768.38564
222,56210.5047715
223,60062.0944
224,37264.093379
225,98224.767891
226,44335.4275785
227,0.0
228,310.9023725
229,0.0
230,31016.039969
231,42044.598789
232,58369.4643665
233,49626.841996
234,139513.5452785
235,60833.5578585
236,155810.996966
237,167941.9774015
238,89831.8187555
239,49971.016933
240,28298.755333
241,0.0
242,0.0
243,2084.700953
244,34060.2661345
245,112.129018
246,0.0
247,0.0
248,63130.7992045
249,94019.0488195
250,82004.170703
251,66391.322394
252,38422.861018
253,30086.853041
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,25739.70799
263,64940.5844195
264,88802.603579
265,75670.7214345
266,60206.54406
267,0.0
268,0.0
269,0.0
270,0.0
271,1.514309
272,5167.533937
273,2963.0037995
274,30133.353338
275,56444.1161855
276,155070.922189
277,57878.7914875
278,40985.88725
279,0.0
280,0.0
281,0.0
282,0.0
283,21006.2274525
284,15.9172385
285,20226.7465525
286,38765.6946005
287,28646.238372
288,104472.8802055
289,41102.9928605
290,0.0
291,0.0
292,10682.434314
293,13886.2994205
294,56779.37964
295,69296.9548855
296,62574.903967
297,103178.535497
298,89207.5861185
299,42581.4217575
300,0.0
301,0.0
302,0.0
303,7582.5001965
304,38868.609868
305,30108.972592
306,162255.631584
307,29745.609278
308,19927.8219595
309,75875.506218
310,146483.0692815
311,68006.759046
312,0.0
313,44355.4644025
314,70107.690893
315,115.7454875
316,5895.600483
317,54956.71371
318,33629.847879
319,2271.5515755
320,2561.0764005
321,8444.6121465
322,32569.343632
323,77643.2487705
324,207944.40031
325,204585.8155695
326,485169.9768335
327,132301.43583
328,10262.475541
329,16928.6935825
330,11641.7785515
331,15207.858894
332,7281.5870425
333,13568.8555875
334,7868.8667945
335,144089.2514595
336,127695.77013
337,18.014883
338,158589.0827315
339,241782.099004
340,158933.3217675
341,48122.824461
342,43799.117573
343,30.830248
344,0.0
345,44.7546795
346,41989.7942235
347,67097.8775465
348,77005.900771
349,114916.929884
350,31504.8613925
351,101400.561037
352,36501.2733515
353,75451.8613415
354,17838.462901
355,53.2458045
356,0.0
357,15.692236
358,55.630747
359,0.0
360,12306.1573965
361,23975.015252
362,133836.881299
363,125.748402
364,0.0
365,11806.755285
366,8319.550394
367,0.0
368,115.5319705
369,200.566384
370,0.0
371,0.0
372,0.0
373,0.0
374,62848.9278195
375,61773.0453285
376,676.590264
377,56383.8175295
378,9.3916035
379,932.4332895
380,498.7437385
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,12888.8039765
387,14442.0241395
388,0.0
389,21664.333467
390,5427.250264
391,0.0
392,346.333949
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,1837.924689
401,7004.121177
