tile_id,area_km2
0,0.0
1,76.1909215
2,33.3755345
3,5.4235585
4,391.2860155
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,3733.67129
13,0.0
14,1.9365495
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,62.9279615
21,0.0
22,20516.176664
23,45362.4443175
24,0.0
25,12.461275
26,0.0
27,0.0
28,0.0
29,2118.0040265
