category,terrestrial_km2,terrestrial_skipped_count,marine_km2,marine_skipped_count
pa_oecm,21728265.592093013,797,29992789.17197651,88
pa_only,20367872.19380851,776,29675211.32569352,88
oecm_only,1517809.04847,21,325976.6453734999,0
